id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
321190,DE-0396,small_airport,Kunrau-Jahrstedt Ultralight Airfield,52.567273,10.994203,218,EU,DE,DE-ST,Klötze,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321210,DE-0397,small_airport,Deisterflieger UL,52.2941978,9.3773282,UNKNOWN,EU,DE,DE-NI,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321215,DE-0398,small_airport,Neuenstadt am Kocher Ultralight Airfield,49.242661,9.316724,617,EU,DE,DE-BW,Neuenstadt am Kocher,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.schlosserei-froehlich.de/flugplatz,UNKNOWN,UNKNOWN
321216,DE-0399,small_airport,Hoym Airfield,51.777931,11.285309,472,EU,DE,DE-ST,Seeland,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Flugplatz Hoym Ultraleichtflugschule Hoym-Peter Eckstein
321230,DE-0400,small_airport,Niederwillingen Airfield,50.780019,11.050058,1329,EU,DE,DE-TH,Stadtilm,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321249,DE-0401,small_airport,Oberrot-Glashofen UL,49.01005,9.638593,1574,EU,DE,DE-BW,Oberrot,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.ulv-oberrot.de,UNKNOWN,UNKNOWN
321284,DE-0402,small_airport,Donstorf UL,52.655,8.556944,128,EU,DE,DE-NI,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
321359,DE-0403,small_airport,Ohlsbach Ultralight Airfield,48.433145,7.972054,525,EU,DE,DE-BW,Offenburg,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.ortenauer-dgf.de/,UNKNOWN,UNKNOWN
321360,DE-0404,small_airport,Walxheim-Unterschneidheim UL,48.953631,10.323716,1690,EU,DE,DE-BW,Unterschneidheim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.fliegervereinwalxheim.de,UNKNOWN,UNKNOWN
321379,DE-0405,small_airport,Naunheim / Maifeld Ultralight Airfield,50.258215,7.332162,700,EU,DE,DE-RP,Naunheim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.aerodrom.de,UNKNOWN,UNKNOWN
321500,DE-0407,small_airport,Gemen-Kirchspiel Ultralight Airfield,51.878889,6.855278,164,EU,DE,DE-NW,Borken,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.motorschirm-muensterland.de,UNKNOWN,UNKNOWN
321578,DE-0408,small_airport,Schwaigern/Stetten UL,49.141667,8.9875,755,EU,DE,DE-BW,Schwaigern,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Ul Schwaigern Stetten EDSWAG Flugplatz Stetten Schwaigern
322105,DE-0409,small_airport,Gersdorf Ultralight Airfield,49.03187,11.141181,1804,EU,DE,DE-BY,Nennslingen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://an03369.hp.altmuehlnet.de,UNKNOWN,UNKNOWN
325169,DE-0411,small_airport,Hohenstein UL,51.533636,10.57889,UNKNOWN,EU,DE,DE-TH,Hohenstein,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
326221,DE-0412,small_airport,Gössenheim Ultralight Airfield,50.028245,9.772232,738,EU,DE,DE-BY,Gössenheim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.facebook.com/igulgoesse/,UNKNOWN,Gössenheim UL Ultra Leicht UL Flugfeld Gössenheim Ultraleicht-Flugplatz Gössenheim
326618,DE-0413,small_airport,Obersöllbach Ultralight Airfield,49.183183,9.559103,UNKNOWN,EU,DE,DE-BW,Neuenstein,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
327063,DE-0414,small_airport,Brodau Cropduster Strip,51.4987,12.32983,341,EU,DE,DE-SN,Delitsch,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Agrarflugplatz Brodau
327064,DE-0415,small_airport,Laussig Agricultural Airstrip,51.535632,12.642359,UNKNOWN,EU,DE,DE-SN,Laussig,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXMB Agrarflugplatz Laußig Laußig
331680,DE-0425,small_airport,Machern Cropduster Strip,51.35862,12.611778,515,EU,DE,DE-SN,Machern,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Agrar-Flugfeld Machern
330770,DE-0426,small_airport,Freyenstein UL,53.2752777,12.3661111,310,EU,DE,DE-BR,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Trapp Technologie Horst Trapp
333985,DE-0427,small_airport,Zwochau Cropduster Strip,51.46339,12.23996,UNKNOWN,EU,DE,DE-SN,Wiedemar,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
331281,DE-0432,small_airport,Gerbstedt Airstrip,51.636832,11.614951,UNKNOWN,EU,DE,DE-ST,Gerbstedt,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
334173,DE-0433,small_airport,Parchim Sport Airfield,53.41861,11.80167,UNKNOWN,EU,DE,DE-MV,Parchim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Luftsportverein Parchim Sportflugplatz Parchim
334707,DE-0435,small_airport,Kolitzheim-Herleshof Airfield,49.920062,10.258141,751,EU,DE,DE-BY,Kolitzheim,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Flugplatz Kolitzheim-Herleshof
350530,DE-0436,small_airport,Heimatshofen Private Airstrip UL,47.95773,11.82082,UNKNOWN,EU,DE,DE-BY,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
339905,DE-0443,small_airport,Marbach-Rielingshausen Airfield,48.967714,9.322093,981,EU,DE,DE-BW,Marbach am Neckar,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
341228,DE-0445,small_airport,Felling Airfield,48.07159,12.13531,-2,EU,DE,DE-BY,Edling,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Flugplatz Felling
343912,DE-0447,small_airport,Bruchsal dropzone,49.0975,8.59495,UNKNOWN,EU,DE,DE-BW,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.fsc-bruchsal.de/dropzone,UNKNOWN,UNKNOWN
345228,DE-0453,small_airport,Starnberg-Landstetten Airfield,47.981058,11.243291,UNKNOWN,EU,DE,DE-BY,Starnberg,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
348414,DE-0454,small_airport,Maroldsweisach Airstrip,50.19933,10.75923,1102,EU,DE,DE-BY,Maroldsweisach,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
348975,DE-0455,small_airport,Feuchtwangen Private Airstrip,49.194288,10.379262,1693,EU,DE,DE-BY,Feuchtwangen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
353834,DE-0477,small_airport,Kreuzebra Ultralight Airfield,51.33262,10.25527,1562,EU,DE,DE-TH,Dingelstädt,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
354102,DE-0478,small_airport,Teck Glider Field,48.608753,9.474184,1214,EU,DE,DE-BW,Dettingen unter Teck,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.flg-dettingen.de/,https://de.wikipedia.org/wiki/Segelfluggel%C3%A4nde_Teck,Segelfluggelände Teck
354384,DE-0480,small_airport,Sollach Airstrip,47.9062,11.76946,UNKNOWN,EU,DE,DE-BY,Valley,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
504916,DE-0499,small_airport,Tangeln Private Airstrip,52.66652,11.012335,UNKNOWN,EU,DE,DE-ST,Beetzendorf,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
509620,DE-0514,small_airport,Sassberg Glider Field,51.90246,10.70052,UNKNOWN,EU,DE,DE-ST,Veckenstedt,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
511376,DE-0515,small_airport,Bibergau Ultralight Airfield,49.80707,10.11947,906,EU,DE,DE-BY,Dettelbach,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UL-Flugplatz Bibergau
561478,DE-0533,small_airport,Magolsheim Ultralight,48.405731,9.622993,2520,EU,DE,DE-BW,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
514572,DE-0590,small_airport,Wangen bei Starnberg Airfield,48.01634,11.42009,2060,EU,DE,DE-BY,Starnberg,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
514822,DE-0626,small_airport,Reichshof-Eckenhagen Airfield,50.99282,7.68911,1024,EU,DE,DE-NW,Reichshof,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Flugplatz Reichshof-Eckenhagen
515463,DE-0677,small_airport,Bleicherode Airfield,51.47292,10.57113,981,EU,DE,DE-TH,Lipprechterode,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
515535,DE-0686,small_airport,Meidelstetten Gliderfield,48.36233,9.31004,2480,EU,DE,DE-BW,Hohenstein (Reutlingen),no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
521444,DE-0801,small_airport,Aßberg UL,48.71549,13.68585,UNKNOWN,EU,DE,DE-BY,Jandelsbrunn,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
533827,DE-0805,small_airport,Westerenger Airfield,52.12826,8.51346,390,EU,DE,DE-NW,Enger,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
535301,DE-0814,small_airport,Ottmarsbocholt Airfield,51.82325,7.51512,200,EU,DE,DE-NW,Lüdinghausen,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Flugplatz Ottmarsbocholt MFC Ottmarsbocholt
46652,DE-0910,small_airport,Rheinstetten Glider Field,48.9777,8.3425,380,EU,DE,DE-BW,Rheinstetten,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,http://www.sfg-reiselfingen.de/,UNKNOWN,UNKNOWN
598868,DE-0920,small_airport,Waldmössingen Paramotor Field,48.26658,8.51458,UNKNOWN,EU,DE,DE-BW,UNKNOWN,no,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
599124,DE-0921,small_airport,Altstetten Ultralight Field,48.30629,11.28652,UNKNOWN,EU,DE,DE-BY,Altstetten,yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
